ReviewID,CustomerID,ProductID,ReviewDate,Rating,ReviewText
1,77,18,12/23/2023,3,"Average  experience,  nothing  special."
2,80,19,12/25/2024,5,The  quality  is    top-notch.
3,50,13,1/26/2025,4,Five  stars  for  the  quick  delivery.
4,78,15,4/21/2025,3,"Good  quality,  but  could  be  cheaper."
5,64,2,7/16/2023,3,"Average  experience,  nothing  special."
6,81,1,12/21/2025,4,Customer  support  was  very  helpful.
7,16,1,1/29/2024,3,"Average  experience,  nothing  special."
8,55,8,8/15/2024,5,The  quality    is  top-notch.
9,3,13,9/1/2023,4,"I  love  this  product,  will  buy  again!"
10,78,6,6/17/2024,5,"Excellent  product,  highly  recommend!"
11,54,9,7/17/2023,4,"Great  purchase,  very  satisfied."
12,77,2,1/13/2025,2,Product  did    not  meet  my  expectations.
13,93,6,8/20/2024,5,"Great  purchase,  very  satisfied."
14,23,2,6/16/2025,4,"Good  quality,  but  could  be  cheaper."
15,29,11,1/27/2023,5,"Great  purchase,  very  satisfied."
16,95,17,1/6/2023,5,"Excellent  product,  highly  recommend!"
17,88,4,10/29/2025,3,Not  worth  the  money.
18,17,16,11/23/2024,4,Shipping  was  fast  and  the  item  was  well-packaged.
19,34,13,1/4/2024,4,The  quality  is  top-notch.
20,34,6,4/29/2023,1,I  had  a  bad  experience  with  this  product.
21,22,15,4/8/2023,5,Amazing  value  for  the  price.
22,52,3,10/30/2025,4,The  quality  is  top-notch.
23,69,18,7/2/2023,5,Five  stars  for  the  quick  delivery.
24,100,4,7/18/2025,3,"I  love  this    product,  will  buy  again!"
25,55,20,12/19/2024,4,Shipping  was  fast  and  the  item  was  well-packaged.
26,76,11,8/21/2024,4,Five  stars  for  the  quick  delivery.
27,56,6,11/24/2025,4,The  quality  is  top-notch.
28,76,8,5/27/2025,5,Five  stars  for  the  quick  delivery.
29,38,13,5/31/2023,4,"I  love  this  product,  will  buy  again!"
30,84,6,3/18/2024,4,Five  stars  for  the  quick  delivery.
31,93,4,8/25/2025,3,"Good  quality,  but  could  be    cheaper."
32,91,1,7/15/2023,4,The  quality  is  top-notch.
33,30,2,2/21/2023,4,Shipping  was  fast  and  the  item  was  well-packaged.
34,81,15,3/30/2024,5,"Excellent  product,  highly  recommend!"
35,27,12,3/13/2024,3,"Average  experience,  nothing  special."
36,96,9,12/5/2025,3,"Good  quality,  but  could  be  cheaper."
37,38,3,9/11/2023,3,"Average  experience,  nothing    special."
38,45,17,5/7/2024,5,"Great  purchase,  very  satisfied."
39,54,1,10/2/2023,5,Customer  support  was  very  helpful.
40,33,2,1/3/2025,5,Five  stars    for  the  quick  delivery.
41,93,17,5/15/2025,3,"Average  experience,  nothing  special."
42,72,15,3/21/2023,5,Five  stars  for  the  quick  delivery.
43,84,15,2/2/2025,4,Exceeded  my    expectations!
44,44,17,4/20/2023,5,"Excellent  product,    highly  recommend!"
45,11,16,3/23/2023,3,Not  worth  the  money.
46,27,5,5/7/2025,4,Five  stars  for  the  quick  delivery.
47,19,13,6/1/2024,4,Five  stars  for  the  quick  delivery.
48,70,17,10/8/2023,4,Shipping  was  fast  and  the  item    was  well-packaged.
49,3,7,6/9/2025,3,"Good  quality,  but  could    be  cheaper."
50,62,4,1/7/2023,1,The  product  stopped  working  after  a  month.
51,49,17,4/14/2023,4,Five  stars  for  the  quick  delivery.
52,75,11,4/7/2024,4,"I  love  this  product,  will  buy  again!"
53,73,18,12/28/2025,4,Five  stars  for    the  quick  delivery.
54,33,8,5/3/2023,5,"Excellent  product,  highly  recommend!"
55,57,9,11/3/2025,3,Customer  support  was    very  helpful.
56,15,10,12/11/2025,3,Shipping  was  fast  and  the  item  was  well-packaged.
